"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Improving the Robustness of Threshold-Based Single Hidden Layer Neural Networks via Regularization","E. Ragusa; C. Gianoglio; R. Zunino; P. Gastaldo","Department of Electrical, DITEN University of Genoa, Genova, Italy; Department of Electrical, DITEN University of Genoa, Genova, Italy; Department of Electrical, DITEN University of Genoa, Genova, Italy; Department of Electrical, DITEN University of Genoa, Genova, Italy",2020 2nd IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS),"23 Apr 2020","2020","","","276","280","Edge computing can take full advantage of data-driven models only if the eventual inference function can be deployed on low-power, resource-constrained digital devices. In this regard, single layer feedforward neural networks (SLFNs) based on the threshold activation function represent a suitable option, as they can suitably balance generalization performances and computational costs. Their robustness to perturbations at the node level, though, is an issue: a small perturbation affecting the input to the activation might result in a sign inversion at the output of the neuron. This in turn may severely affect the accuracy of the inference function when implemented on hardware. This paper shows that the robustness of this class of SLFNs can be improved by introducing in the cost function a regularization term specifically designed to limit the impacts of perturbations at the node level. The novel cost function indeed admits a closed-form solution. Experimental validation involved six real world benchmarks.","","978-1-7281-4922-6","10.1109/AICAS48895.2020.9073976","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073976","","Robustness;Perturbation methods;Neurons;Training;Cost function;Biological neural networks;Hardware","","2","","30","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"High-Speed, Real-Time, Spike-Based Object Tracking and Path Prediction on Google Edge TPU","J. Sengupta; R. Kubendran; E. Neftci; A. Andreou","John Hopkins University, Baltimore, MD, USA; University of California San Diego, La Jolla, CA, USA; 3University of California Irvine, Irvine, CA, USA; John Hopkins University, Baltimore, MD, USA",2020 2nd IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS),"23 Apr 2020","2020","","","134","135","As computation and advanced high-dimensional signal processing is pushed to edge computational devices, energy efficient, unconventional architectures are needed to ameliorate this growing need. The Google Edge TPU, first used on a Cloud platform, is one such accelerator that is now commercially available for consumer use. Similarly, low-power, data-efficient vision sensors, such as the Dynamic Vision Sensor (DVS), have been developed and commercialized as well to improve upon the large data redundancy seen in these ML applications. This live demonstration is linking these two technologies to benchmark the Coral Edge TPU Board in a high-speed object tracking and prediction application. In comparison to a floating point architecture of similar form factor, the Intel Compute Stick, the Edge TPU has been show to outperform in terms of latency and computational efficiency.","","978-1-7281-4922-6","10.1109/AICAS48895.2020.9073867","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073867","Edge Computing;Tensor Processing unit (TPU);Dynamic Vision Sensor (DVS)","Computer architecture;Google;Conferences;Vision sensors;Task analysis;Real-time systems;Object tracking","","21","","4","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"Tradeoff between Parallel Efficiency and Coding Efficiency of HEVC: A Load Balancing Solution with Convolutional Neural Networks","J. -W. Yang; P. -R. Lai; P. -C. Fu; J. -S. Wang","Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan",2020 2nd IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS),"23 Apr 2020","2020","","","248","250","The concept of tiles was introduced in HEVC as a parallelization strategy. Tiles in HEVC enable the video to be split into independent rectangular regions, thus can be processed in parallel. However, as more threads are devoted to the execution of a parallelized program, the load imbalance among tiles would make threads' idle time to be expected to increase, thus harm the aggregated coding time and speedup performance as well. To expose as much parallelism of HEVC encoding as possible, in this paper, several skills including CNN are conducted. Our design is based on the tradeoff between parallel efficiency and coding efficiency. The goal of CNN filtering are two folds. Firstly, the CNN model gives the prediction of the quadtree structure for each CTU, avoiding the time-consuming CU partition in HEVC if the prediction is reliable. In addition, these CNN outputs (probabilities) can be employed as a filter to decide whether a CTU will be processed by a low-complexity CNN partition mode or the original HEVC mode. The experimental results show that the proposed method could perform well in terms of speedup and aggregated coding time with negligible (minor) coding efficiency loss.","","978-1-7281-4922-6","10.1109/AICAS48895.2020.9073933","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073933","CNN;HEVC;Parallel Video Coding;Speedup;Tiles;Load Balancing","Encoding;Partitioning algorithms;Load management;Instruction sets;Parallel processing;Predictive models;Task analysis","","2","","7","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"Multi-stage Attention Convolutional Neural Networks for HEVC In-Loop Filtering","P. -R. Lai; J. -S. Wang","Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan",2020 2nd IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS),"23 Apr 2020","2020","","","173","177","In High Efficiency Video Coding (HEVC), lossy compression techniques bring various visual artifacts such as blocking, ringing, and blurring, etc. Recently, to explore convolutional neural networks (CNN) potential of removing such artifacts, researchers presented several CNN models. In this paper, we proposed a Multi-stage Attention Convolutional Neural Network (MACNN) to replace in-loop filters or postprocessing. Our proposed method has three characteristics of effective training and inferencing: employing a 3-stage design fashion with various loss criteria, adopting the revised Inception module, and utilizing Self-attention block. Such a design has several advantages. The 3-stage design clarifies the function of each stage, effectively alleviating the burden of the network; inception module along with self-attention block benefit our model having the ability to acquire global information with fewer layers. Hence, MACNN could reach the performance gain competitive to deeper models. The experimental results show that our MACNN achieves an average 6.5% BD-rate reduction compared to HEVC in all-intra configuration, beating state-of the-art methods.","","978-1-7281-4922-6","10.1109/AICAS48895.2020.9073980","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073980","High Efficiency Video Coding (HEVC);In-loop filters;convolutional neural networks;Inception module;Selfattention Block","Convolution;Training;Computational modeling;Convolutional neural networks;High efficiency video coding;Computer architecture;Image restoration","","5","","26","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"A Pipeline-Based Scheduler for Optimizing Latency of Convolution Neural Network Inference over Heterogeneous Multicore Systems","H. -I. Wu; D. -Y. Guo; H. -H. Chin; R. -S. Tsay","National Tsing Hua University, Hsinchu, Taiwan; National Tsing Hua University, Hsinchu, Taiwan; National Tsing Hua University, Hsinchu, Taiwan; National Tsing Hua University, Hsinchu, Taiwan",2020 2nd IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS),"23 Apr 2020","2020","","","46","49","Parallelization is a common design practice for throughput improvement on multicore systems. However, the existing operating systems' schedulers for CNN inference essentially divide the computational tasks of each convolution layer onto different CPU cores and cause significant inter-core feature-map data movement. Therefore, the overall performance is often degraded. In this paper, we propose a pipeline-based scheduler for convolution neural network inference parallelization with minimal feature-map data movement requirements. The experimental results show that our approach can achieve 73% performance improvement on throughput compared to the existing multi-thread scheduler.","","978-1-7281-4922-6","10.1109/AICAS48895.2020.9073977","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073977","embedded system;heterogeneous scheduler;parallel computing","Pipelines;Convolution;Multicore processing;Computational modeling;Kernel;Task analysis;Delays","","12","","12","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"Accelerating Deep Neural Networks with Analog Memory Devices","S. Ambrogio; P. Narayanan; H. Tsai; C. Mackin; K. Spoon; A. Chen; A. Fasoli; A. Friz; G. W. Burr","IBM Research–Almaden, 650 Harry Road, San Jose, CA; IBM Research–Almaden, 650 Harry Road, San Jose, CA; IBM Research–Almaden, 650 Harry Road, San Jose, CA; IBM Research–Almaden, 650 Harry Road, San Jose, CA; IBM Research–Almaden, 650 Harry Road, San Jose, CA; IBM Research–Almaden, 650 Harry Road, San Jose, CA; IBM Research–Almaden, 650 Harry Road, San Jose, CA; IBM Research–Almaden, 650 Harry Road, San Jose, CA; IBM Research–Almaden, 650 Harry Road, San Jose, CA",2020 2nd IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS),"23 Apr 2020","2020","","","149","152","Acceleration of training and inference of Deep Neural Networks (DNNs) with non-volatile memory (NVM) arrays, such as Phase-Change Memory (PCM), shows promising advantages in terms of energy efficiency and speed with respect to digital implementations using CPUs and GPUs. By leveraging a combination of PCM devices and CMOS circuits, high training accuracy can be achieved, leading to software-equivalent results on small and medium datasets. In addition, weights encoded with multiple PCM devices can lead to high speed and low-power inference, as shown here for Long-Short Term Memory (LSTM) networks.","","978-1-7281-4922-6","10.1109/AICAS48895.2020.9073978","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073978","NVM;PCM;AI;Accelerator;Analog computing;Training;Inference","Phase change materials;Training;Nonvolatile memory;Software;Programming;Neural networks;Matlab","","7","","15","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"XNORAM: An Efficient Computing-in-Memory Architecture for Binary Convolutional Neural Networks with Flexible Dataflow Mapping","S. Liu; H. Zhu; C. Chen; L. Zhang; C. . -J. Richard Shi","State Key Laboratory of ASIC and System; State Key Laboratory of ASIC and System; Shanghai Engineering Research Center for AI & Robotics, Fudan University, Shanghai; Shanghai Engineering Research Center for AI & Robotics, Fudan University, Shanghai; State Key Laboratory of ASIC and System",2020 2nd IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS),"23 Apr 2020","2020","","","21","25","In this paper, an energy-efficient computing-inmemory architecture for binary convolutional neural networks, called XNORAM, is proposed. The XNORAM employs 6T feature cells and 10T weight cells to form one XNORAM column. Multiplexed XNOR operations are embedded in each column. To address the data reuse in convolutional neural networks, flexible dataflow mapping is supported on XNORAM to minimize the external data access. To verify the architecture, we design a 4-KB XNORAM prototype in 65nm CMOS technology. It achieves a throughput of 18. 5GOPs at 100-MHz clock rate and 1.0-V power supply. XNOR-AlexNet is performed on the design achieving 39.86 TOPS/W and 4.63 GOPS/KB utilization with only 1.3% accuracy loss comparing to the original XNOR-Net result on GPUs.","","978-1-7281-4922-6","10.1109/AICAS48895.2020.9073848","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073848","","Convolution;Computer architecture;Prototypes;Topology;Convolutional neural networks;CMOS technology;Throughput","","2","","12","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"Temporal Variability Analysis in sEMG Hand Grasp Recognition using Temporal Convolutional Networks","M. Zanghieri; S. Benatti; F. Conti; A. Burrello; L. Benini","Department of Electronic and Electric Engineering, University of Bologna, Italy; Department of Electronic and Electric Engineering, University of Bologna, Italy; Department of Electronic and Electric Engineering, University of Bologna, Italy; Department of Electronic and Electric Engineering, University of Bologna, Italy; Department of Electronic and Electric Engineering, University of Bologna, Italy",2020 2nd IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS),"23 Apr 2020","2020","","","228","232","Hand movement recognition via surface electromyographic (sEMG) signal is a promising approach for the advance in Human-Computer Interaction. However, this field has to deal with two main issues: (1) the long-term reliability of sEMG-based control is limited by the variability affecting the sEMG signal (especially, variability over time); (2) the classification algorithms need to be suitable for implementation on embedded devices, which have strict constraints in terms of power budget and computational resources. Current solutions present a performance over-time drop that makes them unsuitable for reliable gesture controller design. In this paper, we address temporal variability of sEMG-based grasp recognition, proposing a new approach based on Temporal Convolutional Networks, a class of deep learning algorithms particularly suited for time series analysis and temporal pattern recognition. Our approach improves by 7.6% the best results achieved in the literature on the NinaPro DB6, a reference dataset for temporal variability analysis of sEMG. Moreover, when targeting the much more challenging inter-session accuracy objective, our method achieves an accuracy drop of just 4.8% between intra- and inter-session validation. This proves the suitability of our setup for a robust, reliable long-term implementation. Furthermore, we distill the network using deep network quantization and pruning techniques, demonstrating that our approach can use down to 120 lower memory footprint than the initial network and 4 lower memory footprint than a baseline Support Vector Machine, with an inter-session accuracy degradation of only 2.5%, proving that the solution is suitable for embedded resource-constrained implementations.","","978-1-7281-4922-6","10.1109/AICAS48895.2020.9073888","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073888","","Training;Convolution;Support vector machines;Reliability;Gesture recognition;Electromyography;Feature extraction","","17","","23","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"Prediction of Gas Concentration Using Gated Recurrent Neural Networks","S. Wang; Y. Hu; J. Burgués; S. Marco; S. -C. Liu","Institute of Neuroinformatics, University of Zürich and ETH Zürich, Zurich, Switzerland; Institute of Neuroinformatics, University of Zürich and ETH Zürich, Zurich, Switzerland; Institute for Bioengineering of Catalonia, The Barcelona Institute of Science and Technology, Barcelona, Spain; Institute for Bioengineering of Catalonia, The Barcelona Institute of Science and Technology, Barcelona, Spain; Institute of Neuroinformatics, University of Zürich and ETH Zürich, Zurich, Switzerland",2020 2nd IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS),"23 Apr 2020","2020","","","178","182","Low-cost gas sensors allow for large-scale spatial monitoring of air quality in the environment. However they require calibration before deployment. Methods such as multivariate regression techniques have been applied towards sensor calibration. In this work, we propose instead, the use of deep learning methods, particularly, recurrent neural networks for predicting the gas concentrations based on the outputs of these sensors. This paper presents a first study of using Gated Recurrent Unit (GRU) neural network models for gas concentration prediction. The GRU networks achieve on average, a 44.69% and a 25.17% RMSE improvement in concentration prediction on a gas dataset when compared with Support Vector Regression (SVR) and Multilayer Perceptron (MLP) models respectively. With the current advances in deep network hardware accelerators, these networks can be combined with the sensors for a compact embedded system suitable for edge applications.","","978-1-7281-4922-6","10.1109/AICAS48895.2020.9073806","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073806","","Robot sensing systems;Predictive models;Logic gates;Gas detectors;Training;Temperature measurement;Support vector machines","","14","","31","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"Multi-Resolution Siamese Networks for One-Shot Learning","I. A. Lungu; Y. Hu; S. -C. Liu","Institute of Neuroinformatics, University of Zurich and ETH Zurich, Zurich, Switzerland; Institute of Neuroinformatics, University of Zurich and ETH Zurich, Zurich, Switzerland; Institute of Neuroinformatics, University of Zurich and ETH Zurich, Zurich, Switzerland",2020 2nd IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS),"23 Apr 2020","2020","","","183","187","Few-shot learning, a rapidly evolving theme in deep learning research, aims to endow artificial intelligence with the same ability of humans to assimilate new information very quickly. Siamese networks have been used in this context to learn similarity between image pairs and quickly classify novel objects. This work proposes an improved architecture and a novel training method that increases a 1-shot 5-way classification accuracy on 5 entirely novel classes by around 5%, 19%, 18% and 13% respectively compared to vanilla Siamese networks when tested on Omniglot, Tiny-Imagenet, CIFAR100 as well as a custom dataset recorded with an event-driven camera. These networks, when run on a Jetson TX2 GPU can be executed within 108 ms on average.","","978-1-7281-4922-6","10.1109/AICAS48895.2020.9073996","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073996","event camera;machine learning;one-shot learning;computer vision;Siamese networks","Training;Computer architecture;Task analysis;Kernel;Network architecture;Cameras;Graphics processing units","","7","","40","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
