"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Welcome","",,2024 IEEE International Conference on Pervasive Computing and Communications (PerCom),"11 Apr 2024","2024","","","1","2","On behalf of the Steering and Organizing Committees, we are delighted to welcome you to the 22nd IEEE International Conference on Pervasive Computing and Communications (PerCom 2024), to be held in Biarritz, France, from March 11-15, 2024. IEEE PerCom is a flagship annual conference that provides a forum for researchers and practitioners to present new discoveries and discuss future developments in pervasive computing and communications research and technologies.","2474-249X","979-8-3503-2603-1","10.1109/PerCom59722.2024.10494501","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494501","","","","","","","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"Welcome From the TPC Chairs","",,2024 IEEE International Conference on Pervasive Computing and Communications (PerCom),"11 Apr 2024","2024","","","3","3","","2474-249X","979-8-3503-2603-1","10.1109/PerCom59722.2024.10494425","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494425","","","","","","0","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"Committees","",,2024 IEEE International Conference on Pervasive Computing and Communications (PerCom),"11 Apr 2024","2024","","","4","10","Committees.","2474-249X","979-8-3503-2603-1","10.1109/PerCom59722.2024.10494491","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494491","","","","","","","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"Keynotes","",,2024 IEEE International Conference on Pervasive Computing and Communications (PerCom),"11 Apr 2024","2024","","","11","12","","2474-249X","979-8-3503-2603-1","10.1109/PerCom59722.2024.10494433","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494433","","","","","","","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"Technical Program","",,2024 IEEE International Conference on Pervasive Computing and Communications (PerCom),"11 Apr 2024","2024","","","13","17","Technical Program.","2474-249X","979-8-3503-2603-1","10.1109/PerCom59722.2024.10494484","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494484","","","","","","","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"About IEEE PerCom 2024","",,2024 IEEE International Conference on Pervasive Computing and Communications (PerCom),"11 Apr 2024","2024","","","18","18","","2474-249X","979-8-3503-2603-1","10.1109/PerCom59722.2024.10494469","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494469","","","","","","0","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"2024 IEEE International Conference on Pervasive Computing and Communications (PerCom)","",,2024 IEEE International Conference on Pervasive Computing and Communications (PerCom),"11 Apr 2024","2024","","","19","19","2024 IEEE International Conference on Pervasive Computing and Communications (PerCom).","2474-249X","979-8-3503-2603-1","10.1109/PerCom59722.2024.10494478","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494478","","","","","","","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"UR2M: Uncertainty and Resource-Aware Event Detection on Microcontrollers","H. Jia; Y. D. Kwon; D. Mat; N. Pham; L. Qendro; T. Vu; C. Mascolo","University of Cambridge, Cambridge, UK; University of Cambridge, Cambridge, UK; Singapore Management University, Singapore; Cardiff University, Cardiff, UK; Nokia Bell Labs, Cambridge, UK; University of Colorado Boulder, Colorado, US; University of Cambridge, Cambridge, UK",2024 IEEE International Conference on Pervasive Computing and Communications (PerCom),"11 Apr 2024","2024","","","1","10","Traditional machine learning techniques are prone to generating inaccurate predictions when confronted with shifts in the distribution of data between the training and testing phases. This vulnerability can lead to severe consequences, especially in applications such as mobile healthcare. Uncertainty estimation has the potential to mitigate this issue by assessing the reliability of a model's output. However, existing uncertainty estimation techniques often require substantial computational resources and memory, making them impractical for implementation on microcontrollers (MCUs). This limitation hinders the feasibility of many important on-device wearable event detection (WED) applications, such as heart attack detection. In this paper, we present UR2M, a novel Uncertainty and Resource-aware event detection framework for MCUs. Specifically, we (i) develop an uncertainty-aware WED based on evidential theory for accurate event detection and reliable uncertainty estimation; (ii) introduce a cascade ML framework to achieve efficient model inference via early exits, by sharing shallower model layers among different event models; (iii) optimize the deployment of the model and MCU library for system efficiency. We conducted extensive experiments and compared UR2M to traditional uncertainty baselines using three wearable datasets. Our results demonstrate that UR2M achieves up to 864% faster inference speed, 857% energy-saving for uncertainty estimation, 55% memory saving on two popular MCUs, and a 22% improvement in uncertainty quantification performance. UR2M can be deployed on a wide range of MCUs, significantly expanding real-time and reliable WED applications.","2474-249X","979-8-3503-2603-1","10.1109/PerCom59722.2024.10494467","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494467","Uncertainty;Event Detection;Efficiency;Microcontrollers","Training;Pervasive computing;Uncertainty;Event detection;Microcontrollers;Memory management;Reliability theory","","","","37","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"Leveraging On-Board UAV Motion Estimation for Lightweight Macroscopic Crowd Identification","K. Anjum; T. Chowdhury; S. Mandava; B. Piccoli; D. Pompili","Dept. of Electrical and Computer Engineering; Dept. of Electrical and Computer Engineering; Dept. of Electrical and Computer Engineering; Dept. of of Mathematical Sciences, Rutgers University, NJ, USA; Dept. of Electrical and Computer Engineering",2024 IEEE International Conference on Pervasive Computing and Communications (PerCom),"11 Apr 2024","2024","","","11","17","This paper introduces a novel, lightweight, on-board approach to crowd pattern identification, ingeniously using the processes of existing video compression standards, particularly H.264 or MPEG-4. Piggy-backing on the H.264 video-encoding algorithm, we propose real-time crowd pattern recognition and identification methodologies that can identify macroscopic patterns in as low as 2 milliseconds on NVIDIA TX2, resulting in around 45 x execution time reduction compared to existing approaches. Furthermore, we introduce a temporally aware approach to pinpoint and adapt to crowd movement patterns, continuously recalibrating as a drone's Point Of View (POV) varies or observed motions diverge. Evaluating our method against publicly available datasets, we emphasize our system's performance and computational advantages, especially when faced with real-time observational shifts. In conclusion, our approach elegantly bridges the gap between crowd safety imperatives and the challenges of UAV monitoring, heralding a new era of real-time drone-centric crowd management intelligence.","2474-249X","979-8-3503-2603-1","10.1109/PerCom59722.2024.10494446","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494446","Crowd Pattern Recognition;Crowd Surveillance;On-board Computation;Video Encoding","Pervasive computing;System performance;Motion estimation;Transform coding;Video compression;Autonomous aerial vehicles;Real-time systems","","","","21","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"End-to-End Multi-Modal Tiny-CNN for Cardiovascular Monitoring on Sensor Patches","M. F. Rifet Ibrahim; T. Alkanat; M. Meijer; A. Schlaefer; P. Stelldinger","NXP Semiconductors, Eindhoven, The Netherlands; NXP Semiconductors, Eindhoven, The Netherlands; NXP Semiconductors, Eindhoven, The Netherlands; Institute of Medical Technology and Intelligent Systems, Hamburg University of Technology, Hamburg, Germany; Department of Computer Science, Hamburg University of Applied Sciences, Hamburg, Germany",2024 IEEE International Conference on Pervasive Computing and Communications (PerCom),"11 Apr 2024","2024","","","18","24","The vast majority of cardiovascular diseases are avoidable or treatable by preventive measures and early de-tection. To efficiently detect early signs and risk factors, car-diovascular parameters can be monitored continuously with small sensor patches, which improve the comfort of patients. However, processing the sensor data is a challenging task with the demanding needs of robustness, reliability, performance and efficiency. The field of deep learning has tremendous potential to provide a way to analyze cardiovascular sensor data to detect anomalies which alleviates the workload of doctors for more effective data interpretation. In this work, we show the feasibility of applying deep learning for the classification of synchronized electrocardiogram and phonocardiogram recordings under very tight resource constraints. Our model employs an early fusion of data and uses convolutional layers to solve the problem of binary classification of anomalies. Our experiments show that our model matches the accuracy of the current state-of-the-art model on the “training-a” dataset of the Physionet Challenge 2016 database while being more than two orders of magnitude more efficient in memory footprint and compute cost. Further, we demonstrate the applicability of our model on edge devices, such as sensor patches, by estimating processor performance, power consumption, and silicon area.","2474-249X","979-8-3503-2603-1","10.1109/PerCom59722.2024.10494450","Bundesministerium für Bildung und Forschung (BMBF)(grant numbers:16KISK221); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494450","patient monitoring;edge computing;tiny-ml;smart sensing;sensor patches","Deep learning;Performance evaluation;Databases;Computational modeling;Medical services;Silicon;Synchronization","","1","","30","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
