DOI,Title,Matched Columns,Matched keywards,Matched Columns 2,Matched keywards 2
10.1109/AICAS48895.2020.9073933,Tradeoff between Parallel Efficiency and Coding Efficiency of HEVC: A Load Balancing Solution with Convolutional Neural Networks,"Abstract, Author Keywords","cnn, cnn","Abstract, Author Keywords","cnn, cnn"
10.1109/AICAS48895.2020.9073980,Multi-stage Attention Convolutional Neural Networks for HEVC In-Loop Filtering,"Abstract, Abstract, Abstract","neural network, convolutional neural network, cnn","Abstract, Abstract, Abstract","neural network, convolutional neural network, cnn"
10.1109/AICAS48895.2020.9073977,A Pipeline-Based Scheduler for Optimizing Latency of Convolution Neural Network Inference over Heterogeneous Multicore Systems,"Document Title, Abstract, Abstract, Abstract","neural network, neural network, convolution layer, cnn","Document Title, Abstract, Abstract, Abstract","neural network, neural network, convolution layer, cnn"
10.1109/AICAS48895.2020.9073888,Temporal Variability Analysis in sEMG Hand Grasp Recognition using Temporal Convolutional Networks,Abstract,deep learning,"Abstract, Abstract","deep learning, support vector machine"
10.1109/AICAS48895.2020.9073806,Prediction of Gas Concentration Using Gated Recurrent Neural Networks,"Abstract, Abstract, Abstract","neural network, gated recurrent unit, deep learning","Abstract, Abstract, Abstract, Abstract","neural network, gated recurrent unit, deep learning, rmse"
10.1109/AICAS48895.2020.9073996,Multi-Resolution Siamese Networks for One-Shot Learning,Abstract,deep learning,"Abstract, Author Keywords","deep learning, machine learning"
10.1109/AICAS48895.2020.9073837,Using Libraries of Approximate Circuits in Design of Hardware Accelerators of Deep Neural Networks,"Author Keywords, Author Keywords","neural network, convolutional neural network","Author Keywords, Author Keywords","neural network, convolutional neural network"
10.1109/AICAS48895.2020.9073989,Memory Efficient Training using Lookup-Table-based Quantization for Neural Network,"Document Title, Author Keywords","neural network, neural network","Document Title, Author Keywords","neural network, neural network"
10.1109/AICAS48895.2020.9073964,In-memory PageRank using a Crosspoint Array of Resistive Switching Memory (RRAM) devices,Abstract,deep learning,Abstract,deep learning
10.1109/AICAS48895.2020.9073950,Convolutional-Recurrent Neural Networks on Low-Power Wearable Platforms for Cardiac Arrhythmia Detection,"Abstract, Abstract","neural network, recurrent neural network","Abstract, Abstract, Abstract, Abstract, Abstract","neural network, recurrent neural network, machine learning, precision, f1 score"
10.1109/AICAS48895.2020.9073832,Exploiting Variable Precision Computation Array for Scalable Neural Network Accelerators,Document Title,neural network,"Document Title, Document Title, Abstract","neural network, precision, precision"
10.1109/AICAS48895.2020.9073801,Distributed Clique-Based Neural Networks for Data Fusion at the Edge,Abstract,neural network,Abstract,neural network
10.1109/AICAS48895.2020.9073858,A 1.15-TOPS 6.57-TOPS/W DNN Processor for Multi-Scale Object Detection,"Author Keywords, Author Keywords","neural network, convolutional neural network","Abstract, Author Keywords, Author Keywords","precision, neural network, convolutional neural network"
10.1109/AICAS48895.2020.9073998,Error-triggered Three-Factor Learning Dynamics for Crossbar Arrays,Abstract,gradient descent,"Abstract, Abstract","gradient descent, machine learning"
10.1109/AICAS48895.2020.9073945,Low-power ECG acquisition by Compressed Sensing with Deep Neural Oracles,"Abstract, Abstract","neural network, deep neural network","Abstract, Abstract","neural network, deep neural network"
