DOI,Title,Matched Columns,Matched keywards
10.1109/AICAS48895.2020.9073976,Improving the Robustness of Threshold-Based Single Hidden Layer Neural Networks via Regularization,Abstract,resource-constrained
10.1109/AICAS48895.2020.9073978,Accelerating Deep Neural Networks with Analog Memory Devices,Abstract,low-power 
10.1109/AICAS48895.2020.9073848,XNORAM: An Efficient Computing-in-Memory Architecture for Binary Convolutional Neural Networks with Flexible Dataflow Mapping,Abstract,energy-efficient
10.1109/AICAS48895.2020.9073888,Temporal Variability Analysis in sEMG Hand Grasp Recognition using Temporal Convolutional Networks,"Abstract, Abstract, Abstract","resource-constrained, quantization, pruning"
10.1109/AICAS48895.2020.9073989,Memory Efficient Training using Lookup-Table-based Quantization for Neural Network,"Document Title, Abstract, Abstract, IEEE Terms","quantization, quantization, memory usage, quantization"
10.1109/AICAS48895.2020.9073950,Convolutional-Recurrent Neural Networks on Low-Power Wearable Platforms for Cardiac Arrhythmia Detection,"Document Title, Abstract, Abstract, Abstract, IEEE Terms","low-power , low-power , microcontrollers , cmsis-nn, quantization"
10.1109/AICAS48895.2020.9073832,Exploiting Variable Precision Computation Array for Scalable Neural Network Accelerators,"Author Keywords, IEEE Terms","quantization, quantization"
10.1109/AICAS48895.2020.9073945,Low-power ECG acquisition by Compressed Sensing with Deep Neural Oracles,Document Title,low-power 
10.1109/AICAS48895.2020.9074004,Zero Block Caching for CNN Applications Running on a Vision DSP,"Abstract, IEEE Terms","quantization, quantization"
10.1109/AICAS48895.2020.9073856,An error-propagation spiking neural network compatible with neuromorphic processors,Abstract,low-power 
10.1109/AICAS48895.2020.9073913,Low-Power HWAccelerator for AI Edge-Computing in Human Activity Recognition Systems,"Document Title, Author Affiliations","low-power , microcontrollers "
10.1109/AICAS48895.2020.9073810,Neuromorphic Implementation of a Recurrent Neural Network for EMG Classification,Abstract,low-power 
10.1109/AICAS48895.2020.9073827,SpArNet: Sparse Asynchronous Neural Network execution for energy efficient inference,"Abstract, Abstract, IEEE Terms","quantization, energy consumption, quantization"
10.1109/AICAS48895.2020.9073942,Deep Neural Network Mapping and Performance Analysis on Tiled RRAM Architecture,IEEE Terms,quantization
10.1109/AICAS48895.2020.9073979,EAST: Encoding-Aware Sparse Training for Deep Memory Compression of ConvNets,"Abstract, Abstract, Abstract, IEEE Terms","low-power , quantization, pruning, quantization"
10.1109/AICAS48895.2020.9073885,Efficient Embedded Deep Neural-Network-based Object Detection Via Joint Quantization and Tiling,"Document Title, Abstract, Abstract, IEEE Terms","quantization, resource-constrained, quantization, quantization"
10.1109/AICAS48895.2020.9073944,Energy-Efficient Accelerator Design with 3D-SRAM and Hierarchical Interconnection Architecture for Compact Sparse CNNs,"Document Title, Abstract, Abstract","energy-efficient, energy-efficient, energy consumption"
10.1109/AICAS48895.2020.9073992,An Architectural Study for Inference Coprocessor Core at the Edge in IoT Sensing,Abstract,low-power 
10.1109/AICAS48895.2020.9073963,A Real-Time Retinomorphic Simulator Using a Conductance-Based Discrete Neuronal Network,Abstract,real-time performance
10.1109/AICAS48895.2020.9073920,Neuro-PULP: A Paradigm Shift Towards Fully Programmable Platforms for Neural Interfaces,"Abstract, Abstract","low-power , mcu"
10.1109/AICAS48895.2020.9073877,Low Power In-Memory Implementation of Ternary Neural Networks with Resistive RAM-Based Synapse,Abstract,energy consumption
10.1109/AICAS48895.2020.9073870,Smart Logic-in-Memory Architecture For Ultra-Low Power Large Fan-In Operations,"Abstract, Abstract","low-power , energy-efficient"
10.1109/AICAS48895.2020.9073914,A SiPM-Based Directional Gamma-Ray Spectrometer With Embedded Machine Learning,Document Title,embedded machine learning
10.1109/AICAS48895.2020.9073972,Real-time Super Resolution CNN Accelerator with Constant Kernel Size Winograd Convolution,IEEE Terms,quantization
10.1109/AICAS48895.2020.9073840,Fully-Integrated Spiking Neural Network Using SiOx-Based RRAM as Synaptic Device,Abstract,quantization
10.1109/AICAS48895.2020.9073854,Layerwise Noise Maximisation to Train Low-Energy Deep Neural Networks,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/AICAS48895.2020.9073903,Complex Neuron Dynamics on the IBM TrueNorth Neurosynaptic System,Abstract,energy-efficient
10.1109/AICAS48895.2020.9073987,Learning to Walk: Spike Based Reinforcement Learning for Hexapod Robot Central Pattern Generation,Abstract,raspberry pi
