DOI,Title,Matched Columns,Matched keywards,Matched Columns 2,Matched keywards 2
10.1109/AICAS48895.2020.9073888,Temporal Variability Analysis in sEMG Hand Grasp Recognition using Temporal Convolutional Networks,"Abstract, Abstract, Abstract","resource-constrained, quantization, pruning","Abstract, Abstract","deep learning, support vector machine"
10.1109/AICAS48895.2020.9073989,Memory Efficient Training using Lookup-Table-based Quantization for Neural Network,"Document Title, Abstract, Abstract, IEEE Terms","quantization, quantization, memory usage, quantization","Document Title, Author Keywords","neural network, neural network"
10.1109/AICAS48895.2020.9073950,Convolutional-Recurrent Neural Networks on Low-Power Wearable Platforms for Cardiac Arrhythmia Detection,"Document Title, Abstract, Abstract, Abstract, IEEE Terms","low-power , low-power , microcontrollers , cmsis-nn, quantization","Abstract, Abstract, Abstract, Abstract, Abstract","neural network, recurrent neural network, machine learning, precision, f1 score"
10.1109/AICAS48895.2020.9073832,Exploiting Variable Precision Computation Array for Scalable Neural Network Accelerators,"Author Keywords, IEEE Terms","quantization, quantization","Document Title, Document Title, Abstract","neural network, precision, precision"
10.1109/AICAS48895.2020.9073945,Low-power ECG acquisition by Compressed Sensing with Deep Neural Oracles,Document Title,low-power ,"Abstract, Abstract","neural network, deep neural network"
10.1109/AICAS48895.2020.9074004,Zero Block Caching for CNN Applications Running on a Vision DSP,"Abstract, IEEE Terms","quantization, quantization","Document Title, Abstract, Abstract","cnn, activation functions, cnn"
10.1109/AICAS48895.2020.9073856,An error-propagation spiking neural network compatible with neuromorphic processors,Abstract,low-power ,"Document Title, Document Title","neural network, spiking neural network"
10.1109/AICAS48895.2020.9073913,Low-Power HWAccelerator for AI Edge-Computing in Human Activity Recognition Systems,"Document Title, Author Affiliations","low-power , microcontrollers ",Abstract,neural network
10.1109/AICAS48895.2020.9073810,Neuromorphic Implementation of a Recurrent Neural Network for EMG Classification,Abstract,low-power ,"Document Title, Document Title, Abstract, Abstract, Abstract, Abstract, Abstract","neural network, recurrent neural network, neural network, recurrent neural network, machine learning, support vector machine, svm"
10.1109/AICAS48895.2020.9073827,SpArNet: Sparse Asynchronous Neural Network execution for energy efficient inference,"Abstract, Abstract, IEEE Terms","quantization, energy consumption, quantization","Document Title, Abstract, Abstract, Abstract, Abstract","neural network, neural network, convolutional neural network, spiking neural network, cnn"
10.1109/AICAS48895.2020.9073942,Deep Neural Network Mapping and Performance Analysis on Tiled RRAM Architecture,IEEE Terms,quantization,"Document Title, Document Title, Abstract, Author Keywords, Author Keywords","neural network, deep neural network, precision, neural network, deep neural network"
10.1109/AICAS48895.2020.9073979,EAST: Encoding-Aware Sparse Training for Deep Memory Compression of ConvNets,"Abstract, Abstract, Abstract, IEEE Terms","low-power , quantization, pruning, quantization",Abstract,precision
10.1109/AICAS48895.2020.9073885,Efficient Embedded Deep Neural-Network-based Object Detection Via Joint Quantization and Tiling,"Document Title, Abstract, Abstract, IEEE Terms","quantization, resource-constrained, quantization, quantization","Abstract, Abstract","cnn, precision"
10.1109/AICAS48895.2020.9073944,Energy-Efficient Accelerator Design with 3D-SRAM and Hierarchical Interconnection Architecture for Compact Sparse CNNs,"Document Title, Abstract, Abstract","energy-efficient, energy-efficient, energy consumption","Abstract, Abstract","deep learning, cnn"
10.1109/AICAS48895.2020.9073992,An Architectural Study for Inference Coprocessor Core at the Edge in IoT Sensing,Abstract,low-power ,"Abstract, Abstract, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","neural network, convolutional neural network, cnn, random forest, support vector machine, precision, svm, machine learning, machine learning"
10.1109/AICAS48895.2020.9073963,A Real-Time Retinomorphic Simulator Using a Conductance-Based Discrete Neuronal Network,Abstract,real-time performance,"Author Affiliations, Abstract, Author Keywords, Author Keywords","ann, machine learning, neural network, spiking neural network"
10.1109/AICAS48895.2020.9073920,Neuro-PULP: A Paradigm Shift Towards Fully Programmable Platforms for Neural Interfaces,"Abstract, Abstract","low-power , mcu",IEEE Terms,clustering
10.1109/AICAS48895.2020.9073877,Low Power In-Memory Implementation of Ternary Neural Networks with Resistive RAM-Based Synapse,Abstract,energy consumption,"Abstract, Abstract","neural network, precision"
10.1109/AICAS48895.2020.9073914,A SiPM-Based Directional Gamma-Ray Spectrometer With Embedded Machine Learning,Document Title,embedded machine learning,"Document Title, Abstract, Author Keywords","machine learning, decision tree, machine learning"
10.1109/AICAS48895.2020.9073972,Real-time Super Resolution CNN Accelerator with Constant Kernel Size Winograd Convolution,IEEE Terms,quantization,"Document Title, Abstract","cnn, cnn"
10.1109/AICAS48895.2020.9073840,Fully-Integrated Spiking Neural Network Using SiOx-Based RRAM as Synaptic Device,Abstract,quantization,"Document Title, Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, spiking neural network, neural network, spiking neural network, neural network, spiking neural network"
10.1109/AICAS48895.2020.9073854,Layerwise Noise Maximisation to Train Low-Energy Deep Neural Networks,"Abstract, IEEE Terms","energy consumption, energy consumption","Abstract, Abstract","gradient descent, stochastic gradient descent"
10.1109/AICAS48895.2020.9073903,Complex Neuron Dynamics on the IBM TrueNorth Neurosynaptic System,Abstract,energy-efficient,Abstract,precision
10.1109/AICAS48895.2020.9073987,Learning to Walk: Spike Based Reinforcement Learning for Hexapod Robot Central Pattern Generation,Abstract,raspberry pi,"Document Title, Abstract","reinforcement learning, reinforcement learning"
10.1109/AICAS51828.2021.9458501,NeuroSim Validation with 40nm RRAM Compute-in-Memory Macro,Abstract,energy consumption,"Abstract, Abstract, Author Keywords, Author Keywords","neural network, deep neural network, neural network, deep neural network"
10.1109/AICAS51828.2021.9458438,MLFlash-CIM: Embedded Multi-Level NOR-Flash Cell based Computing in Memory Architecture for Edge AI Devices,"Document Title, Abstract, IEEE Terms","edge ai, quantization, quantization","Abstract, Author Keywords, Author Keywords","neural network, neural network, convolutional neural network"
10.1109/AICAS51828.2021.9458469,Energy-Efficient Intelligent EPTS Device using Novel DCNN-Based Dynamic Sensor Activation,Document Title,energy-efficient,"Abstract, Abstract","neural network, convolutional neural network"
10.1109/AICAS51828.2021.9458436,An Ultra-Low-power Real-Time Hand-Gesture Recognition System for Edge Applications,"Document Title, Abstract","low-power , low-power ","Abstract, Abstract","cnn, decision tree"
10.1109/AICAS51828.2021.9458569,Design optimization for ADMM-Based SVM Training Processor for Edge Computing,"Abstract, Abstract","low-power , memory usage","Document Title, Abstract, Abstract, Author Keywords, Author Keywords","svm, support vector machine, svm, support vector machine, svm"
10.1109/AICAS51828.2021.9458452,Quantization Strategy for Pareto-optimally Low-cost and Accurate CNN,"Document Title, Abstract, Author Keywords, Author Keywords, IEEE Terms","quantization, quantization, quantization, pruning, quantization","Document Title, Author Keywords","cnn, cnn"
10.1109/AICAS51828.2021.9458472,A Quality-Oriented Reconfigurable Convolution Engine Using Cross-Shaped Sparse Kernels for Highly-Parallel CNN Acceleration,Abstract,pruning,Document Title,cnn
10.1109/AICAS51828.2021.9458560,Hardware Approximation of Exponential Decay for Spiking Neural Networks,"Abstract, Abstract","low-power , energy consumption","Abstract, Abstract, Author Keywords","deep learning, precision, deep learning"
10.1109/AICAS51828.2021.9458563,"iAMEC, an Intelligent Autonomous Mover for Navigation in Indoor People Rich Environments",Abstract,edge ai,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords","deep learning, cnn, reinforcement learning, deep learning, cnn"
10.1109/AICAS51828.2021.9458528,MRAM-based BER resilient Quantized edge-AI Networks for Harsh Industrial Conditions,"Author Keywords, Author Keywords","edge ai, bnn","Abstract, Abstract, Abstract","neural network, convolutional neural network, multi-layer perceptron"
10.1109/AICAS51828.2021.9458492,An 176.3 GOPs Object Detection CNN Accelerator Emulated in a 28nm CMOS Technology,Abstract,real-time performance,"Document Title, Abstract, Author Keywords","cnn, cnn, neural network"
10.1109/AICAS51828.2021.9458511,"An Efficient and Low-Power MLP Accelerator Architecture Supporting Structured Pruning, Sparse Activations and Asymmetric Quantization for Edge Computing","Document Title, Document Title, Document Title, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","low-power , quantization, pruning, low-power , quantization, pruning, model compression, quantization","Abstract, Abstract","neural network, precision"
10.1109/AICAS51828.2021.9458425,Event-Driven Continuous-Time Feature Extraction for Ultra Low-Power Audio Keyword Spotting,"Document Title, Document Title, Abstract","low-power , keyword spotting, keyword spotting","Abstract, Abstract","neural network, convolutional neural network"
10.1109/AICAS51828.2021.9458403,Online Detection of Vibration Anomalies Using Balanced Spiking Neural Networks,"Abstract, Author Keywords","predictive maintenance, predictive maintenance","Abstract, Abstract","neural network, spiking neural network"
10.1109/AICAS51828.2021.9458542,Exploiting Memristors for Neuromorphic Reinforcement Learning,Abstract,energy-efficient,"Document Title, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","reinforcement learning, neural network, spiking neural network, reinforcement learning, neural network, spiking neural network, reinforcement learning, reinforcement learning"
10.1109/AICAS51828.2021.9458468,Contention-aware Adaptive Model Selection for Machine Vision in Embedded Systems,Abstract,resource-constrained,Abstract,deep learning
10.1109/AICAS51828.2021.9458539,A Two-Layer LSTM Deep Learning Model for Epileptic Seizure Prediction,Abstract,resource-constrained,"Document Title, Author Keywords","deep learning, deep learning"
10.1109/AICAS51828.2021.9458545,Ensemble of Pruned Networks for Reliable Classifiers,"Abstract, Author Keywords","pruning, pruning",Abstract,cnn
10.1109/AICAS51828.2021.9458508,Dynamically-biased Fixed-point LSTM for Time Series Processing in AIoT Edge Device,"Document Title, Abstract","aiot , quantization","Abstract, Abstract, Author Keywords, Author Keywords","neural network, long short-term memory, neural network, recurrent neural network"
10.1109/AICAS51828.2021.9458487,Quantized Fully Convolution Neural Network for HW Implementation of Human Posture Recognition,"Abstract, Author Keywords, Author Keywords, IEEE Terms","quantization, low-power , quantization, quantization","Document Title, Abstract, Abstract, Author Keywords, Author Keywords","neural network, neural network, convolutional neural network, neural network, convolutional neural network"
10.1109/AICAS51828.2021.9458581,Exploiting Weight Statistics for Compressed Neural Network Implementation on Hardware,"Abstract, Abstract, IEEE Terms","quantization, microcontrollers , quantization","Document Title, Abstract","neural network, deep learning"
10.1109/AICAS51828.2021.9458459,TCBNN: Error-Correctable Ternary-Coded Binarized Neural Network,Abstract,bnn,"Document Title, Abstract, Abstract, Abstract","neural network, neural network, deep neural network, activation functions"
10.1109/AICAS51828.2021.9458520,ECG-TCN: Wearable Cardiac Arrhythmia Detection with a Temporal Convolutional Network,"Abstract, IEEE Terms","energy-efficient, quantization","Author Keywords, Author Keywords","deep learning, machine learning"
10.1109/AICAS51828.2021.9458461,Graph-Based Spatio-Temporal Backpropagation for Training Spiking Neural Networks,"Abstract, IEEE Terms","energy consumption, energy consumption","Document Title, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","backpropagation, backpropagation, neural network, spiking neural network, backpropagation, backpropagation"
10.1109/AICAS51828.2021.9458573,Efficient FPGA Implementation of a Convolutional Neural Network for Radar Signal Processing,"Abstract, Author Keywords","energy consumption, energy consumption","Document Title, Document Title, Abstract, Abstract, Author Keywords","neural network, convolutional neural network, neural network, cnn, cnn"
10.1109/AICAS51828.2021.9458476,Neural Network Acceleration and Voice Recognition with a Flash-based In-Memory Computing SoC,"Abstract, Abstract","resource-constrained, keyword spotting","Document Title, Abstract, Abstract, Abstract, IEEE Terms, IEEE Terms","neural network, neural network, transfer learning, transfer learning, transfer learning, transfer learning"
10.1109/AICAS51828.2021.9458550,Automated Tuning of End-to-end Neural Flight Controllers for Autonomous Nano-drones,"Abstract, Abstract","low-power , inference time",Abstract,cnn
10.1109/AICAS51828.2021.9458421,LPE: Logarithm Posit Processing Element for Energy-Efficient Edge-Device Training,Document Title,energy-efficient,"Abstract, Abstract, Abstract","batch normalization, convolution layer, precision"
10.1109/AICAS51828.2021.9458410,HPPU: An Energy-Efficient Sparse DNN Training Processor with Hybrid Weight Pruning,"Document Title, Document Title, Abstract, Author Keywords","pruning, energy-efficient, pruning, pruning","Author Keywords, Author Keywords","neural network, deep neural network"
10.1109/AICAS51828.2021.9458491,Integer-Only Approximated MFCC for Ultra-Low Power Audio NN Processing on Multi-Core MCUs,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms, IEEE Terms","quantization, keyword spotting, mcu, tinyml, keyword spotting, low-power , quantization",Abstract,precision
10.1109/AICAS51828.2021.9458575,uPIM: Performance-aware Online Learning Capable Processing-in-Memory,Abstract,quantization,"Abstract, Abstract, Abstract, Abstract","generative adversarial network, deep learning, machine learning, precision"
10.1109/AICAS51828.2021.9458509,CoughNet: A Flexible Low Power CNN-LSTM Processor for Cough Sound Detection,"Abstract, IEEE Terms","energy consumption, energy consumption","Document Title, Abstract","cnn, cnn"
10.1109/AICAS51828.2021.9458435,Energy-Efficient Deep Reinforcement Learning Accelerator Designs for Mobile Autonomous Systems,"Document Title, Author Keywords","energy-efficient, energy-efficient","Document Title, Abstract, Author Keywords, IEEE Terms","reinforcement learning, reinforcement learning, reinforcement learning, reinforcement learning"
10.1109/AICAS51828.2021.9458548,An Energy-Efficient Hardware Accelerator for Hierarchical Deep Reinforcement Learning,"Document Title, Abstract, Abstract, Abstract, IEEE Terms","energy-efficient, resource-constrained, energy-efficient, energy consumption, energy consumption","Document Title, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","reinforcement learning, neural network, deep neural network, reinforcement learning, reinforcement learning, reinforcement learning"
10.1109/AICAS54282.2022.9870009,Energy-Efficient High-Accuracy Spiking Neural Network Inference Using Time-Domain Neurons,"Document Title, Abstract","energy-efficient, low-power ","Document Title, Document Title, Author Keywords, Author Keywords, Author Keywords, Author Keywords","neural network, spiking neural network, artificial neural network, neural network, spiking neural network, ann"
10.1109/AICAS54282.2022.9869914,Analog-Domain Time-Series Moment Extraction for Low Power Predictive Maintenance Analytics,"Document Title, Abstract","predictive maintenance, low-power ","Abstract, IEEE Terms","machine learning, machine learning"
10.1109/AICAS54282.2022.9869968,Lightweight and Efficient Neural Network Using Progressively Greedy Search,"Abstract, Author Keywords","pruning, neural architecture search","Document Title, Abstract, Author Keywords, Author Keywords","neural network, neural network, neural network, neural architecture search"
10.1109/AICAS54282.2022.9870017,Survey and Comparison of Milliwatts Micro controllers for Tiny Machine Learning at the Edge,"Abstract, Abstract, Abstract, Abstract, Author Keywords","tinyml, resource-constrained, microcontrollers , inference time, tinyml","Document Title, Abstract, Author Keywords","machine learning, machine learning, cnn"
10.1109/AICAS54282.2022.9869965,Optimizing Exponent Bias for Sub-8bit Floating-Point Inference of Fine-tuned Transformers,"Abstract, Author Keywords, IEEE Terms","quantization, quantization, quantization","Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords","transformer, gradient descent, stochastic gradient descent, precision, transformer, precision"
10.1109/AICAS54282.2022.9869907,AutoDeepHLS: Deep Neural Network High-level Synthesis using fixed-point precision,Author Keywords,quantization,"Document Title, Document Title, Document Title, Abstract, Author Keywords, Author Keywords, IEEE Terms","neural network, deep neural network, precision, neural network, neural network, deep neural network, deep learning"
10.1109/AICAS54282.2022.9869988,Intrinsic Sparse LSTM using Structured Targeted Dropout for Efficient Hardware Inference,"Abstract, Abstract, Author Keywords, Author Keywords","resource-constrained, pruning, model compression, pruning","Document Title, Abstract, Abstract, Author Keywords","dropout, long short-term memory, dropout, long short-term memory"
10.1109/AICAS54282.2022.9869959,DC-MPQ: Distributional Clipping-based Mixed-Precision Quantization for Convolutional Neural Networks,"Document Title, Abstract, Author Keywords, IEEE Terms","quantization, quantization, quantization, quantization","Document Title, Abstract, Author Keywords, Author Keywords, Author Keywords","precision, precision, neural network, convolutional neural network, precision"
10.1109/AICAS54282.2022.9869846,An Energy-Efficient Spiking Neural Network for Finger Velocity Decoding for Implantable Brain-Machine Interface,"Document Title, Abstract","energy-efficient, low-power ","Document Title, Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","neural network, spiking neural network, neural network, spiking neural network, backpropagation, ann, neural network, spiking neural network, backpropagation, backpropagation"
10.1109/AICAS54282.2022.9869924,Enabling Energy-Efficient Inference for Self-Attention Mechanisms in Neural Networks,"Document Title, Abstract","energy-efficient, energy-efficient","Abstract, Abstract, Abstract","neural network, transformer, attention mechanism"
10.1109/AICAS54282.2022.9869992,A General-Purpose and Configurable Planar Data Processor for Energy-Efficient Pooling Computation,"Document Title, Abstract, Author Keywords","energy-efficient, energy-efficient, energy-efficient","Abstract, Abstract, Abstract, Author Keywords","pooling layer, deep learning, cnn, cnn"
